City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
97,Hobart,AU,2021-10-11 01:10:04,-42.8794,147.3294,55.26,48,40,1.99,scattered clouds
98,Dafeng,CN,2021-10-11 01:13:08,23.4517,108.5881,67.3,88,100,10.42,overcast clouds
99,Suruc,TR,2021-10-11 01:13:09,36.9761,38.425,66.4,24,4,4.68,clear sky
100,Baijiantan,CN,2021-10-11 01:13:10,45.6333,85.1833,52.3,41,100,22.5,overcast clouds
101,Turinsk,RU,2021-10-11 01:13:10,58.0458,63.696,25.75,71,68,4.74,broken clouds
102,Taoudenni,ML,2021-10-11 01:13:15,22.6783,-3.9836,88.14,11,6,3.24,clear sky
103,Klaksvik,FO,2021-10-11 01:13:16,62.2266,-6.589,43.72,79,100,9.26,overcast clouds
104,Kruisfontein,ZA,2021-10-11 01:13:17,-34.0033,24.7314,52.54,69,18,6.04,few clouds
105,Torbay,CA,2021-10-11 01:13:18,47.6666,-52.7314,42.76,85,26,1.99,scattered clouds
106,Teluk Nibung,ID,2021-10-11 01:13:18,3.001,99.8164,80.04,81,98,4.45,overcast clouds
107,Arlit,NE,2021-10-11 01:13:20,18.7369,7.3853,82.8,11,99,7.56,overcast clouds
108,Yangambi,CD,2021-10-11 01:13:20,0.8102,24.4336,69.98,99,100,2.3,light rain
109,Tripoli,LY,2021-10-11 01:13:21,32.8752,13.1875,72.91,63,0,9.1,clear sky
110,Pontianak,ID,2021-10-11 01:13:29,-0.0333,109.3333,80.58,94,40,3.44,scattered clouds
111,Buzmeyin,TM,2021-10-11 01:13:33,38.0507,58.2056,42.53,45,4,2.3,clear sky
112,Isangel,VU,2021-10-11 01:13:37,-19.55,169.2667,79.2,59,1,8.01,clear sky
113,Souillac,MU,2021-10-11 01:13:38,-20.5167,57.5167,72.36,93,97,9.46,moderate rain
114,Tehachapi,US,2021-10-11 01:09:01,35.1322,-118.449,70.02,41,0,5.01,clear sky
